date,region,channel,revenue,cost,orders,conversion_rate
2024-01-01,North,Organic,118600.85,19141.65,883,0.0351
2024-01-01,North,Paid,204391.47,71175.75,1241,0.0459
2024-01-01,North,Referral,83278.41,22622.8,701,0.0393
2024-01-01,South,Organic,48623.15,12985.61,470,
2024-01-01,South,Paid,137694.5,62888.88,1087,0.0439
2024-01-01,South,Referral,48744.81,12773.38,409,0.0365
2024-01-01,East,Organic,149980.19,28975.91,1070,0.0435
2024-01-01,East,Paid,179690.98,58286.17,1129,0.044
2024-01-01,East,Referral,121256.02,15481.05,730,0.0476
2024-01-01,West,Organic,129379.47,32017.29,917,0.0376
2024-01-01,West,Paid,194945.49,71777.16,1378,0.0414
2024-01-01,West,Referral,120818.97,20890.66,874,0.0271
2024-02-01,North,Organic,119271.01,28368.73,859,0.0401
2024-02-01,North,Paid,210067.16,74265.9,1250,0.042
2024-02-01,North,Referral,82249.55,20172.07,707,0.0482
2024-02-01,South,Organic,112553.7,29399.08,810,0.0477
2024-02-01,South,Paid,117743.49,40343.14,839,0.0358
2024-02-01,South,Referral,102436.22,17086.07,654,0.0469
2024-02-01,East,Organic,149021.95,33577.47,1115,0.0424
2024-02-01,East,Paid,214946.74,89189.28,1616,0.0445
2024-02-01,East,Referral,112537.54,11806.75,915,0.0459
2024-02-01,West,Organic,77069.28,20182.84,587,0.0492
2024-02-01,West,Paid,191684.81,103199.1,1458,0.0408
2024-02-01,West,Referral,96133.45,19492.38,770,0.0367
2024-03-01,North,Organic,103819.25,24779.81,856,0.0431
2024-03-01,North,Paid,162302.21,71474.86,1170,0.0406
2024-03-01,North,Referral,72008.39,13370.14,551,0.0457
2024-03-01,South,Organic,119097.07,22989.31,1078,0.0489
2024-03-01,South,Paid,166724.17,74509.24,1163,0.0419
2024-03-01,South,Referral,62429.95,14759.2,509,0.0427
2024-03-01,East,Organic,140159.48,27631.24,1088,0.0432
2024-03-01,East,Paid,330839.49,113046.28,2048,0.0506
2024-03-01,East,Referral,147976.88,37650.29,1108,0.0504
2024-03-01,West,Organic,137913.71,33423.5,960,0.05
2024-03-01,West,Paid,325701.43,98216.27,2019,0.0349
2024-03-01,West,Referral,108191.52,11879.87,820,0.0434
2024-04-01,North,Organic,116943.6,16159.92,922,0.0352
2024-04-01,North,Paid,140382.95,57817.36,904,0.0377
2024-04-01,North,Referral,72815.52,15594.34,603,0.0457
2024-04-01,South,Organic,137704.66,31377.01,1172,0.0314
2024-04-01,South,Paid,166936.21,65205.46,1051,0.0522
2024-04-01,South,Referral,63109.35,6699.38,646,0.0388
2024-04-01,East,Organic,187073.54,31444.56,1498,0.0443
2024-04-01,East,Paid,244344.1,110238.26,1659,0.0447
2024-04-01,East,Referral,97839.33,25520.98,728,0.0419
2024-04-01,West,Organic,128891.54,39240.8,1046,0.0492
2024-04-01,West,Paid,169328.71,94197.84,1565,0.0344
2024-04-01,West,Referral,105642.11,24275.9,770,0.0552
2024-05-01,North,Organic,94573.27,33913.83,822,0.0503
2024-05-01,North,Paid,220267.27,85691.46,1457,0.0434
2024-05-01,North,Referral,130590.68,21925.77,937,0.0558
2024-05-01,South,Organic,114444.62,18143.05,876,0.05
2024-05-01,South,Paid,145250.61,61913.36,1018,0.0411
2024-05-01,South,Referral,71215.21,20213.5,513,0.0405
2024-05-01,East,Organic,133723.72,21478.48,993,0.0591
2024-05-01,East,Paid,203732.03,92010.79,1486,0.0341
2024-05-01,East,Referral,138604.31,42518.09,1102,0.0474
2024-05-01,West,Organic,174199.53,24228.58,1389,0.0548
2024-05-01,West,Paid,210681.32,94445.43,1654,0.0414
2024-05-01,West,Referral,108637.51,23460.12,810,0.0423
2024-06-01,North,Organic,153916.43,25025.84,945,0.0461
2024-06-01,North,Paid,95455.17,49643.05,728,0.0293
2024-06-01,North,Referral,78114.11,28859.26,618,0.0368
2024-06-01,South,Organic,73480.95,13145.37,565,0.0338
2024-06-01,South,Paid,217300.98,73133.53,1253,0.0419
2024-06-01,South,Referral,62941.69,12302.55,529,0.0415
2024-06-01,East,Organic,145640.04,24424.51,1092,0.0461
2024-06-01,East,Paid,222869.91,69469.09,1345,0.0494
2024-06-01,East,Referral,100139.66,30697.72,890,0.0399
2024-06-01,West,Organic,114208.38,25762.07,872,0.0378
2024-06-01,West,Paid,158675.28,88796.67,1330,0.0516
2024-06-01,West,Referral,88004.89,19925.43,769,0.0387
2024-07-01,North,Organic,79855.8,13809.6,659,0.0501
2024-07-01,North,Paid,108890.53,43956.87,761,0.0389
2024-07-01,North,Referral,98490.9,20977.57,798,0.0477
2024-07-01,South,Organic,92194.26,14668.25,658,0.0434
2024-07-01,South,Paid,149904.42,56426.05,1124,0.0343
2024-07-01,South,Referral,46648.43,7186.19,337,0.0371
2024-07-01,East,Organic,98299.62,18836.22,746,0.037
2024-07-01,East,Paid,181127.22,71884.24,1454,0.0404
2024-07-01,East,Referral,104237.42,25427.24,786,0.0347
2024-07-01,West,Organic,64551.78,22141.72,587,0.0353
2024-07-01,West,Paid,130107.93,37346.83,855,0.0344
2024-07-01,West,Referral,92307.78,13605.58,801,0.0541
2024-08-01,North,Organic,104196.98,12788.38,862,0.0428
2024-08-01,North,Paid,139817.33,62180.11,1012,0.0533
2024-08-01,North,Referral,98952.53,21895.05,791,0.0371
2024-08-01,South,Organic,76078.43,18938.47,629,0.0415
2024-08-01,South,Paid,99337.19,45224.64,756,0.043
2024-08-01,South,Referral,44644.94,10733.25,360,0.0264
2024-08-01,East,Organic,122409.78,22899.07,920,0.0352
2024-08-01,East,Paid,166097.92,63173.11,1188,0.0441
2024-08-01,East,Referral,88330.18,12986.08,683,0.0449
2024-08-01,West,Organic,112281.01,23509.76,845,0.0464
2024-08-01,West,Paid,147439.9,81789.15,1157,0.0449
2024-08-01,West,Referral,61686.18,7137.22,428,0.0311
2024-09-01,North,Organic,70578.84,15861.99,539,0.057
2024-09-01,North,Paid,192556.74,68715.47,1333,0.0464
2024-09-01,North,Referral,85653.52,15293.29,611,0.0488
2024-09-01,South,Organic,104787.93,19696.72,699,0.035
2024-09-01,South,Paid,91403.14,37095.56,584,0.0401
2024-09-01,South,Referral,45531.54,14345.48,428,0.046
2024-09-01,East,Organic,106824.19,7755.56,781,0.0473
2024-09-01,East,Paid,258360.02,88685.67,1401,0.0493
2024-09-01,East,Referral,84634.12,27033.38,616,0.0426
2024-09-01,West,Organic,123020.82,30851.28,817,
2024-09-01,West,Paid,176633.59,52612.58,1048,0.0457
2024-09-01,West,Referral,61709.63,19144.44,530,0.0392
2024-10-01,North,Organic,123887.58,19060.59,913,0.0446
2024-10-01,North,Paid,145084.2,50678.88,904,0.0402
2024-10-01,North,Referral,83946.8,29323.94,697,0.059
2024-10-01,South,Organic,95831.59,18070.36,659,0.0439
2024-10-01,South,Paid,122007.77,52070.21,986,0.0369
2024-10-01,South,Referral,68463.9,15253.05,492,0.0359
2024-10-01,East,Organic,106539.04,23518.36,857,0.0402
2024-10-01,East,Paid,179183.42,65752.97,1226,0.0633
2024-10-01,East,Referral,115631.33,36591.66,856,0.0401
2024-10-01,West,Organic,145878.79,27078.57,1016,0.0567
2024-10-01,West,Paid,180115.65,82721.53,1264,0.0465
2024-10-01,West,Referral,84206.8,22324.15,723,0.0404
2024-11-01,North,Organic,81582.32,27880.02,725,0.0519
2024-11-01,North,Paid,215741.96,85340.18,1600,0.039
2024-11-01,North,Referral,68948.82,13111.57,652,0.0421
2024-11-01,South,Organic,84749.24,15089.64,665,0.0428
2024-11-01,South,Paid,257468.54,88158.05,1350,0.0545
2024-11-01,South,Referral,70503.72,16933.22,546,0.0423
2024-11-01,East,Organic,111284.41,22241.73,788,0.0473
2024-11-01,East,Paid,205924.98,107150.78,1596,0.044
2024-11-01,East,Referral,126216.52,26677.31,1026,0.0274
2024-11-01,West,Organic,99376.0,27478.55,772,0.0304
2024-11-01,West,Paid,197187.14,90866.25,1424,0.0264
2024-11-01,West,Referral,68969.23,21452.17,642,0.0557
2024-12-01,North,Organic,93592.1,17995.2,880,0.0465
2024-12-01,North,Paid,134084.79,67885.2,1109,0.0438
2024-12-01,North,Referral,113001.45,26131.31,803,0.0463
2024-12-01,South,Organic,71431.53,16572.24,558,0.0561
2024-12-01,South,Paid,131742.14,66535.04,1118,0.0373
2024-12-01,South,Referral,78884.14,15765.0,624,0.0508
2024-12-01,East,Organic,194957.22,35620.3,1693,0.0338
2024-12-01,East,Paid,196650.33,75401.36,1403,0.0262
2024-12-01,East,Referral,78580.55,15899.64,618,0.0393
2024-12-01,West,Organic,159838.04,25178.56,1148,0.0384
2024-12-01,West,Paid,152745.02,68088.04,1053,0.0392
2024-12-01,West,Referral,112062.07,42764.25,914,
2025-01-01,North,Organic,143673.9,22321.88,992,0.0408
2025-01-01,North,Paid,224280.87,89700.55,1407,0.0342
